#node	identifier	node_degree
B2M	9606.ENSP00000497910	2
CD2	9606.ENSP00000358490	6
CD27	9606.ENSP00000266557	8
CD274	9606.ENSP00000370989	13
CD276	9606.ENSP00000320084	6
CD28	9606.ENSP00000324890	21
CD4	9606.ENSP00000011653	21
CD40	9606.ENSP00000361359	16
CD40LG	9606.ENSP00000359663	14
CD58	9606.ENSP00000358501	4
CD69	9606.ENSP00000228434	5
CD80	9606.ENSP00000264246	30
CD83	9606.ENSP00000368450	4
CD86	9606.ENSP00000332049	23
CD8A	9606.ENSP00000386559	21
CTLA4	9606.ENSP00000497102	19
FOXP3	9606.ENSP00000365380	11
HAVCR2	9606.ENSP00000312002	6
ICAM1	9606.ENSP00000264832	9
ICOS	9606.ENSP00000319476	13
IFNG	9606.ENSP00000229135	15
IL10	9606.ENSP00000412237	11
IL2	9606.ENSP00000226730	11
LAG3	9606.ENSP00000203629	9
PDCD1	9606.ENSP00000335062	11
PDCD1LG2	9606.ENSP00000380855	10
SLC44A4	9606.ENSP00000229729	1
TIGIT	9606.ENSP00000419085	4
TNF	9606.ENSP00000398698	12
TNFRSF4	9606.ENSP00000368538	8
TNFRSF9	9606.ENSP00000478699	8
