Node1	Node2
CD274	ICOS
CD274	CTLA4
CD4	CD80
CD8A	LAG3
CD86	LAG3
CD274	CD8A
CD8A	ICOS
CD4	CD86
CD86	ICOS
CD28	CD4
CD274	PDCD1
CD80	LAG3
CD8A	CTLA4
CD4	PDCD1LG2
CD86	CTLA4
CD80	ICOS
CD28	ICOS
CTLA4	PDCD1LG2
CD86	CD8A
CD28	CTLA4
CD8A	PDCD1
CD80	CTLA4
CD80	CD8A
CD28	CD8A
CD86	PDCD1
ICOS	PDCD1
CD28	PDCD1
CD274	CD80
CD80	PDCD1
CD274	LAG3
PDCD1	PDCD1LG2
CD274	CD28
CD4	LAG3
LAG3	PDCD1
CTLA4	LAG3
CD4	ICOS
CD274	CD86
CD4	CTLA4
CD274	PDCD1LG2
CTLA4	ICOS
CD4	CD8A
CD28	CD80
CD8A	PDCD1LG2
CD4	PDCD1
CD28	CD86
CD86	PDCD1LG2
ICOS	PDCD1LG2
CD80	CD86
CTLA4	PDCD1
CD80	PDCD1LG2
CD274	CD4
CD28	PDCD1LG2
