"AverageShortestPathLength","BetweennessCentrality","canonicalName","ClosenessCentrality","ClusteringCoefficient","Degree","degree.layout","description","Eccentricity","enabled","initialConcentration","IsSingleNode","levels","moleculeType","name","NeighborhoodConnectivity","NumberOfDirectedEdges","NumberOfUndirectedEdges","PartnerOfMultiEdgedNodePairs","plotted","Radiality","selected","SelfLoops","shared name","Stress","TopologicalCoefficient"
"1.0","0.009523809523809523","CD274","1.0","0.9333333333333333","10","10","","1","true","0","false","100","Other","CD274","9.4","0","10","0","true","1.0","false","0","CD274","6","0.94"
"1.1","0.0","ICOS","0.9090909090909091","1.0","9","9","","2","true","0","false","100","Other","ICOS","9.777777777777779","0","9","0","true","0.99","false","0","ICOS","0","0.9777777777777777"
"1.0","0.009523809523809523","CTLA4","1.0","0.9333333333333333","10","10","","1","true","0","false","100","Other","CTLA4","9.4","0","10","0","true","1.0","false","0","CTLA4","6","0.94"
"1.0","0.009523809523809523","CD4","1.0","0.9333333333333333","10","10","","1","true","0","false","100","Other","CD4","9.4","0","10","0","true","1.0","false","0","CD4","6","0.94"
"1.0","0.009523809523809523","CD80","1.0","0.9333333333333333","10","10","","1","true","0","false","100","Other","CD80","9.4","0","10","0","true","1.0","false","0","CD80","6","0.94"
"1.0","0.009523809523809523","CD8A","1.0","0.9333333333333333","10","10","","1","true","0","false","100","Other","CD8A","9.4","0","10","0","true","1.0","false","0","CD8A","6","0.94"
"1.3","0.0","LAG3","0.7692307692307692","1.0","7","7","","2","true","0","false","100","Other","LAG3","10.0","0","7","0","true","0.97","false","0","LAG3","0","1.0"
"1.0","0.009523809523809523","CD86","1.0","0.9333333333333333","10","10","","1","true","0","false","100","Other","CD86","9.4","0","10","0","true","1.0","false","0","CD86","6","0.94"
"1.1","0.0","CD28","0.9090909090909091","1.0","9","9","","2","true","0","false","100","Other","CD28","9.777777777777779","0","9","0","true","0.99","false","0","CD28","0","0.9777777777777777"
"1.0","0.009523809523809523","PDCD1","1.0","0.9333333333333333","10","10","","1","true","0","false","100","Other","PDCD1","9.4","0","10","0","true","1.0","false","0","PDCD1","6","0.94"
"1.1","0.0","PDCD1LG2","0.9090909090909091","1.0","9","9","","2","true","0","false","100","Other","PDCD1LG2","9.777777777777779","0","9","0","true","0.99","false","0","PDCD1LG2","0","0.9777777777777777"
